"text","source","date","user_id","text_cleaned","sentiment_sentiment","sentiment_score","emotion_primary_emotion","emotion_confidence"
"会议将在明天下午举行。","Instagram","2023-11-09","user_9170","会议将在明天下午举行。","neutral","0.45","happy","0.82"
"会议将在明天下午举行。","Instagram","2023-01-27","user_9850","会议将在明天下午举行。","neutral","0.56","sad","0.8"
"这家餐厅的食物太美味了，服务也很好！","Facebook","2023-06-13","user_4604","这家餐厅的食物太美味了，服务也很好！","positive","0.93","happy","0.94"
"产品质量不符合预期，很失望。","Instagram","2023-04-22","user_2120","产品质量不符合预期，很失望。","negative","0.81","sad","0.85"
"天气这么糟糕，出行太不方便了。","Twitter","2023-08-11","user_3302","天气这么糟糕，出行太不方便了。","negative","0.76","sad","0.6"
"这个服务太差了，以后不会再来了。","Instagram","2023-07-22","user_3582","这个服务太差了，以后不会再来了。","negative","0.81","sad","0.78"
"等了很久还是没有回应，感到很沮丧。","Facebook","2023-08-24","user_1792","等了很久还是没有回应，感到很沮丧。","negative","0.9","sad","0.75"
"谢谢大家的支持，我会继续努力的！","Facebook","2023-12-04","user_4409","谢谢大家的支持，我会继续努力的！","positive","0.75","happy","0.76"
"谢谢大家的支持，我会继续努力的！","Twitter","2023-02-11","user_8616","谢谢大家的支持，我会继续努力的！","positive","0.94","happy","0.8"
"认识新朋友总是让人开心的事情。","Facebook","2023-11-17","user_3630","认识新朋友总是让人开心的事情。","positive","0.81","happy","0.66"
"等了很久还是没有回应，感到很沮丧。","Twitter","2023-09-27","user_2006","等了很久还是没有回应，感到很沮丧。","negative","0.81","sad","0.85"
"这个服务太差了，以后不会再来了。","Instagram","2023-12-15","user_9187","这个服务太差了，以后不会再来了。","negative","0.75","sad","0.64"
"这个消息需要进一步确认。","Instagram","2023-06-17","user_1589","这个消息需要进一步确认。","neutral","0.54","happy","0.86"
"刚刚完成了一个重要项目，感觉很棒！","Instagram","2023-05-26","user_4114","刚刚完成了一个重要项目，感觉很棒！","positive","0.89","happy","0.9"
"今天的天气真好，心情也跟着明朗起来！","Weibo","2023-07-20","user_7665","今天的天气真好，心情也跟着明朗起来！","positive","0.93","happy","0.95"
"这个决定让我很不满意，需要重新考虑。","Weibo","2023-05-02","user_2177","这个决定让我很不满意，需要重新考虑。","negative","0.93","sad","0.94"
"这个产品质量非常好，强烈推荐给大家！","Instagram","2023-03-16","user_2663","这个产品质量非常好，强烈推荐给大家！","positive","0.81","happy","0.76"
"今天的天气真好，心情也跟着明朗起来！","Twitter","2023-03-24","user_2865","今天的天气真好，心情也跟着明朗起来！","positive","0.81","happy","0.7"
"这家餐厅的食物太美味了，服务也很好！","Instagram","2023-02-10","user_8901","这家餐厅的食物太美味了，服务也很好！","positive","0.94","happy","0.95"
"今天是星期一，新的一周开始了。","Weibo","2023-07-12","user_8265","今天是星期一，新的一周开始了。","neutral","0.52","sad","0.64"
