text,source,date,user_id
我非常喜欢这个产品，质量很好，价格也很合理！,微博,2023-06-15,user123
服务态度很差，等了很久都没人理我，不会再来了。,微信,2023-06-16,user456
产品一般般，没有特别惊艳的地方，但也没有明显缺点。,小红书,2023-06-17,user789
物流速度太快了，昨天才下单今天就收到了，包装也很精美！,淘宝,2023-06-18,user101
完全不符合描述，实物和图片差距很大，非常失望。,京东,2023-06-19,user102
性价比很高，超出预期，推荐给大家！,抖音,2023-06-20,user103
客服很耐心，解决问题很及时，给个赞！,拼多多,2023-06-21,user104
质量问题很严重，用了一天就坏了，售后服务也不好。,天猫,2023-06-22,user105
整体还不错，就是物流有点慢，其他都很满意。,闲鱼,2023-06-23,user106
这是我用过的最差的产品，没有之一，强烈不推荐！,美团,2023-06-24,user107
这个新功能太好用了，大大提高了我的工作效率，感谢开发团队！,知乎,2023-06-25,user108
体验非常糟糕，界面设计不合理，操作复杂，完全不人性化。,B站,2023-06-26,user109
活动很给力，优惠力度大，买了很多东西，很开心！,苏宁,2023-06-27,user110
一直很信任这个品牌，产品质量稳定，值得购买。,亚马逊,2023-06-28,user111
太失望了，期待很久的新品居然有这么多问题，不会再买了。,当当,2023-06-29,user112
客户服务太棒了，有问题及时解决，态度非常好！,星巴克,2023-06-30,user113
价格虽然有点高，但是质量确实好，一分钱一分货。,耐克,2023-07-01,user114
等了半个月才收到货，而且包装破损，商品有瑕疵。,顺丰,2023-07-02,user115
使用体验超乎想象的好，会一直支持的！,小米,2023-07-03,user116
广告宣传得很好，实际使用效果一般，没有达到预期。,百度,2023-07-04,user117
